circuitId,Tipo,url,url2,año de apertura
sochi,Tilkodromo,https://www.aerodinamicaf1.com/wp-content/uploads/2021/09/image-1536x864.png,https://cdn.motorlat.com/images/13000/13045_circuito-sochi-2.jpg,2014
rodriguez,Autodromo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg/1920px-Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg.png,https://cdn.motorlat.com/images/13000/13401_autodromo-hermanos-rodriguez.jpg,1963
baku,Urbana,https://lebalap.academy/wp-content/uploads/2021/02/image-1.png,https://as01.epimg.net/meristation/imagenes/2020/06/06/noticias/1591439175_554463_1591439246_noticia_normal.jpg,2016
ricard,Autodromo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Circuit_Paul_Ricard_2020_layout_map.svg/1920px-Circuit_Paul_Ricard_2020_layout_map.svg.png,https://fast-mag.com/mag/wp-content/uploads/2016/12/paul-ricard-no-es-ideal-para-la-f1-e1482876350957.jpg,1970
imola,Urbana,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Imola.svg/1920px-Imola.svg.png,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/d4/de/a8/autodromo-internazionale.jpg?w=1200&h=-1&s=1,1963
mugello,Autodromo,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Mugello_Racing_Circuit_track_map.svg/1920px-Mugello_Racing_Circuit_track_map.svg.png,https://www.motorpoint.com/fotos/8/mugello.jpg,2020
portimao,Autodromo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Aut%C3%B3dromo_do_Algarve_alt.svg/1920px-Aut%C3%B3dromo_do_Algarve_alt.svg.png,https://e00-marca.uecdn.es/assets/multimedia/imagenes/2020/06/14/15921280892729.jpg,2020
jeddah,Autodromo,https://library.sportingnews.com/styles/crop_style_16_9_mobile_2x_webp/s3/2022-03/jeddah.png.webp?itok=Ro4KdaPB,https://images.daznservices.com/di/library/DAZN_News/16/b3/jeddah-circuit-saudi-arabian-gp-f1_1grm639wzd8zf1rkedzojx3tdj.jpg?t=1919508093,2021
losail,Autodromo,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Qatar_Circuit.png.transform/4col-retina/image.png,https://soymotor.com/sites/default/files/imagenes/noticia/losail-circuito-f1-soymotor.jpg,2021
zandvoort,Autodromo,https://media.formula1.com/image/upload/content/dam/fom-website/2018-redesign-assets/Circuit%20maps%2016x9/Netherlands_Circuit.png.transform/6col-retina/image.png,https://dvy7d3tlxdpkf.cloudfront.net/circuit-zandvoort/Dummy/_1260x1149_crop_center-center_75_none/onthecircuit-hero.jpeg?v=1666261448,1952
miami,Urbana,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/drs-1651661973.jpg?crop=1.00xw:0.892xh;0,0.0338xh&resize=980:*",https://images.ecestaticos.com/EwmdRTHL_MrQVTGEbO6LoAA2-NY=/0x0:1563x643/1200x900/filters:fill(white):format(jpg)/f.elconfidencial.com%2Foriginal%2F6b4%2F030%2Fa21%2F6b4030a213656d98b70d8c8e113b50e9.jpg,2022
vegas,Urbana,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Las_Vegas_street_circuit.png/1920px-Las_Vegas_street_circuit.png,https://cdn-1.motorsport.com/images/amp/6AEk5Po6/s6/track-map-1-1.jpg,-
